Event: RBI Repo Rate (2010-03-19): Top positive sectors: NIFTY PHARMA, NIFTY PSU BANK, NIFTY MEDIA (CARs: 6.05%, 4.18%, 2.56%). Top negative sectors: NIFTY REALTY, NIFTY METAL, NIFTY IT (CARs: -26.43%, -14.33%, -10.09%).
Event: RBI Repo Rate (2014-01-28): Top positive sectors: NIFTY REALTY, NIFTY CHEMICALS, NIFTY CONSUMER DURABLES (CARs: 37.69%, 24.03%, 22.14%). Top negative sectors: NIFTY IT, NIFTY PHARMA, NIFTY FINANCIAL SERVICES (CARs: -1.62%, 2.84%, 4.22%).
Event: RBI Repo Rate (2015-01-15): Top positive sectors: NIFTY REALTY, NIFTY FINANCIAL SERVICES, NIFTY METAL (CARs: 67.35%, 40.48%, 37.81%). Top negative sectors: NIFTY IT, NIFTY CHEMICALS, NIFTY FMCG (CARs: -3.53%, -2.4%, 9.16%).
Event: RBI Repo Rate (2015-03-04): Top positive sectors: NIFTY FMCG, NIFTY PHARMA, NIFTY CONSUMER DURABLES (CARs: 26.74%, 1.73%, -6.39%). Top negative sectors: NIFTY PRIVATE BANK, NIFTY PSU BANK, NIFTY BANK (CARs: -37.41%, -36.11%, -35.11%).
Event: RBI Repo Rate (2015-06-02): Top positive sectors: NIFTY MEDIA, NIFTY PHARMA, NIFTY IT (CARs: 0.91%, -8.39%, -13.73%). Top negative sectors: NIFTY REALTY, NIFTY FMCG, NIFTY PSU BANK (CARs: -63.9%, -45.74%, -45.56%).
Event: RBI Repo Rate (2015-09-29): Top positive sectors: NIFTY MEDIA, NIFTY AUTO, NIFTY METAL (CARs: 22.32%, 22.1%, 21.8%). Top negative sectors: NIFTY CONSUMER DURABLES, NIFTY PSU BANK, NIFTY IT (CARs: -2.02%, -1.92%, 3.01%).
Event: RBI Repo Rate (2016-04-05): Top positive sectors: NIFTY CHEMICALS, NIFTY PHARMA, NIFTY METAL (CARs: 9.97%, -3.75%, -4.51%). Top negative sectors: NIFTY PSU BANK, NIFTY PRIVATE BANK, NIFTY BANK (CARs: -36.41%, -24.3%, -23.26%).
Event: RBI Repo Rate (2016-10-04): Top positive sectors: NIFTY METAL, NIFTY FMCG, NIFTY IT (CARs: 8.37%, -1.39%, -1.47%). Top negative sectors: NIFTY MEDIA, NIFTY PRIVATE BANK, NIFTY FINANCIAL SERVICES (CARs: -26.57%, -10.21%, -8.67%).
Event: RBI Repo Rate (2017-08-02): Top positive sectors: NIFTY CONSUMER DURABLES, NIFTY METAL, NIFTY CHEMICALS (CARs: 22.84%, -0.06%, -3.57%). Top negative sectors: NIFTY PSU BANK, NIFTY BANK, NIFTY PRIVATE BANK (CARs: -18.82%, -13.73%, -13.48%).
Event: RBI Repo Rate (2018-06-06): Top positive sectors: NIFTY REALTY, NIFTY PHARMA, NIFTY PSU BANK (CARs: 42.29%, 40.57%, 40.05%). Top negative sectors: NIFTY PRIVATE BANK, NIFTY BANK, NIFTY FINANCIAL SERVICES (CARs: 8.87%, 9.86%, 10.74%).
Event: Tariffs (2018-06-15): Top positive sectors: NIFTY IT, NIFTY FINANCIAL SERVICES, NIFTY PRIVATE BANK (CARs: 3.36%, 1.15%, -0.58%). Top negative sectors: NIFTY PSU BANK, NIFTY METAL, NIFTY REALTY (CARs: -27.81%, -18.99%, -15.94%).
Event: RBI Repo Rate (2018-08-01): Top positive sectors: NIFTY MEDIA, NIFTY PHARMA, NIFTY CONSUMER DURABLES (CARs: 10.17%, 6.4%, 5.99%). Top negative sectors: NIFTY REALTY, NIFTY AUTO, NIFTY BANK (CARs: -17.2%, -13.93%, -5.14%).
Event: RBI Repo Rate (2019-02-07): Top positive sectors: NIFTY REALTY, NIFTY MEDIA, NIFTY PHARMA (CARs: 1.61%, 0.69%, -1.87%). Top negative sectors: NIFTY PSU BANK, NIFTY AUTO, NIFTY METAL (CARs: -26.28%, -23.91%, -17.84%).
Event: RBI Repo Rate (2019-04-04): Top positive sectors: NIFTY MEDIA, NIFTY PHARMA, NIFTY FMCG (CARs: 16.31%, 13.89%, 2.66%). Top negative sectors: NIFTY IT, NIFTY PSU BANK, NIFTY REALTY (CARs: -6.27%, -3.19%, -2.41%).
Event: RBI Repo Rate (2019-06-06): Top positive sectors: NIFTY IT, NIFTY CONSUMER DURABLES, NIFTY FMCG (CARs: 7.19%, -0.94%, -1.32%). Top negative sectors: NIFTY PSU BANK, NIFTY REALTY, NIFTY PHARMA (CARs: -34.2%, -15.7%, -14.24%).
Event: Fed Rate Cuts (2019-07-31): Top positive sectors: NIFTY AUTO, NIFTY METAL, NIFTY PHARMA (CARs: 24.47%, 9.0%, 8.29%). Top negative sectors: NIFTY MEDIA, NIFTY BANK, NIFTY FINANCIAL SERVICES (CARs: -30.56%, -9.28%, -7.61%).
Event: RBI Repo Rate (2019-08-07): Top positive sectors: NIFTY MEDIA, NIFTY PHARMA, NIFTY 50 (CARs: 37.68%, 7.71%, 4.41%). Top negative sectors: NIFTY PSU BANK, NIFTY METAL, NIFTY AUTO (CARs: -12.61%, -6.24%, -2.05%).
Event: Fed Rate Cuts (2019-09-18): Top positive sectors: NIFTY AUTO, NIFTY BANK, NIFTY PRIVATE BANK (CARs: 52.72%, 49.01%, 47.48%). Top negative sectors: NIFTY IT, NIFTY MEDIA, NIFTY PHARMA (CARs: -7.14%, -3.37%, 1.91%).
Event: Fed Rate Cuts (2019-10-30): Top positive sectors: NIFTY PSU BANK, NIFTY MEDIA, NIFTY FMCG (CARs: 40.34%, 29.37%, 4.31%). Top negative sectors: NIFTY AUTO, NIFTY CONSUMER DURABLES, NIFTY PRIVATE BANK (CARs: -29.15%, -9.83%, -6.05%).
Event: RBI Repo Rate (2020-02-06): Top positive sectors: NIFTY MEDIA, NIFTY PSU BANK, NIFTY PHARMA (CARs: 28.13%, 15.91%, 11.33%). Top negative sectors: NIFTY REALTY, NIFTY CONSUMER DURABLES, NIFTY AUTO (CARs: -20.75%, -15.02%, -14.8%).
Event: Fed Rate Cuts (2020-03-03): Top positive sectors: NIFTY PHARMA, NIFTY METAL, NIFTY PSU BANK (CARs: 46.86%, 31.97%, 22.9%). Top negative sectors: NIFTY PRIVATE BANK, NIFTY BANK, NIFTY FINANCIAL SERVICES (CARs: -8.42%, -4.95%, -4.42%).
Event: FII Selloff (2020-03-09): Top positive sectors: NIFTY FINANCIAL SERVICES, NIFTY FMCG, NIFTY CONSUMER DURABLES (CARs: -34.88%, -38.21%, -38.76%). Top negative sectors: NIFTY IT, NIFTY METAL, NIFTY PSU BANK (CARs: -64.27%, -58.68%, -53.32%).
Event: Fed Rate Cuts (2020-03-15): Top positive sectors: NIFTY FMCG, NIFTY PHARMA, NIFTY CHEMICALS (CARs: -19.28%, -26.94%, -33.46%). Top negative sectors: NIFTY FINANCIAL SERVICES, NIFTY PRIVATE BANK, NIFTY BANK (CARs: -105.23%, -104.77%, -100.5%).
Event: Covid 19 (2020-03-24): Top positive sectors: NIFTY PRIVATE BANK, NIFTY BANK, NIFTY FINANCIAL SERVICES (CARs: 171.76%, 159.27%, 147.78%). Top negative sectors: NIFTY METAL, NIFTY PHARMA, NIFTY MEDIA (CARs: 60.43%, 60.64%, 61.69%).
Event: RBI Repo Rate (2020-03-27): Top positive sectors: NIFTY PHARMA, NIFTY METAL, NIFTY FMCG (CARs: 17.76%, 4.77%, -5.01%). Top negative sectors: NIFTY PRIVATE BANK, NIFTY FINANCIAL SERVICES, NIFTY BANK (CARs: -69.95%, -69.2%, -60.59%).
Event: RBI Repo Rate (2020-05-22): Top positive sectors: NIFTY BANK, NIFTY PRIVATE BANK, NIFTY REALTY (CARs: 19.4%, 19.26%, 13.3%). Top negative sectors: NIFTY PHARMA, NIFTY FMCG, NIFTY CHEMICALS (CARs: -12.08%, -5.51%, -5.22%).
Event: RBI Repo Rate (2020-08-06): Top positive sectors: NIFTY PRIVATE BANK, NIFTY CHEMICALS, NIFTY FMCG (CARs: 13.04%, 12.62%, 12.57%). Top negative sectors: NIFTY CONSUMER DURABLES, NIFTY METAL, NIFTY MEDIA (CARs: -15.77%, 0.58%, 1.06%).
Event: RBI Repo Rate (2020-10-09): Top positive sectors: NIFTY PSU BANK, NIFTY BANK, NIFTY METAL (CARs: 0.05%, -0.43%, -0.5%). Top negative sectors: NIFTY PHARMA, NIFTY MEDIA, NIFTY AUTO (CARs: -24.11%, -22.17%, -18.23%).
Event: FII Selloff (2022-01-21): Top positive sectors: NIFTY FMCG, NIFTY PRIVATE BANK, NIFTY BANK (CARs: 2.87%, -0.25%, -0.83%). Top negative sectors: NIFTY CONSUMER DURABLES, NIFTY REALTY, NIFTY METAL (CARs: -36.72%, -35.66%, -34.37%).
Event: Russia Ukraine War (2022-02-24): Top positive sectors: NIFTY METAL, NIFTY MEDIA, NIFTY PHARMA (CARs: 31.75%, 0.39%, -5.62%). Top negative sectors: NIFTY AUTO, NIFTY PSU BANK, NIFTY PRIVATE BANK (CARs: -32.98%, -27.48%, -26.17%).
Event: Fed Rate Cuts (2022-03-16): Top positive sectors: NIFTY METAL, NIFTY REALTY, NIFTY FINANCIAL SERVICES (CARs: 48.03%, 36.22%, 17.95%). Top negative sectors: NIFTY PSU BANK, NIFTY PHARMA, NIFTY FMCG (CARs: 2.63%, 5.43%, 6.09%).
Event: RBI Repo Rate (2022-05-01): Top positive sectors: NIFTY MEDIA, NIFTY IT, NIFTY BANK (CARs: -2.11%, -10.58%, -12.45%). Top negative sectors: NIFTY CONSUMER DURABLES, NIFTY REALTY, NIFTY AUTO (CARs: -32.46%, -25.39%, -19.11%).
Event: RBI Repo Rate (2022-06-08): Top positive sectors: NIFTY REALTY, NIFTY PHARMA, NIFTY MEDIA (CARs: 9.33%, 6.39%, 4.73%). Top negative sectors: NIFTY METAL, NIFTY PRIVATE BANK, NIFTY FINANCIAL SERVICES (CARs: -21.69%, -13.5%, -11.41%).
Event: Fed Rate Cuts (2022-06-15): Top positive sectors: NIFTY FINANCIAL SERVICES, NIFTY BANK, NIFTY PRIVATE BANK (CARs: 12.02%, 6.02%, 3.84%). Top negative sectors: NIFTY METAL, NIFTY CHEMICALS, NIFTY REALTY (CARs: -23.97%, -12.3%, -9.83%).
Event: RBI Repo Rate (2022-08-05): Top positive sectors: NIFTY PRIVATE BANK, NIFTY REALTY, NIFTY BANK (CARs: 14.1%, 13.04%, 11.14%). Top negative sectors: NIFTY PHARMA, NIFTY CONSUMER DURABLES, NIFTY AUTO (CARs: -9.56%, -7.31%, -4.95%).
Event: Fed Rate Cuts (2022-09-21): Top positive sectors: NIFTY FMCG, NIFTY IT, NIFTY CONSUMER DURABLES (CARs: 3.52%, 0.25%, -12.15%). Top negative sectors: NIFTY PSU BANK, NIFTY PRIVATE BANK, NIFTY BANK (CARs: -40.73%, -37.16%, -35.08%).
Event: RBI Repo Rate (2022-09-30): Top positive sectors: NIFTY PRIVATE BANK, NIFTY BANK, NIFTY FINANCIAL SERVICES (CARs: 30.64%, 28.94%, 26.35%). Top negative sectors: NIFTY FMCG, NIFTY PHARMA, NIFTY CONSUMER DURABLES (CARs: -5.61%, 3.53%, 10.51%).
Event: RBI Repo Rate (2022-12-07): Top positive sectors: NIFTY PSU BANK, NIFTY FMCG, NIFTY BANK (CARs: 14.23%, 8.88%, 7.62%). Top negative sectors: NIFTY REALTY, NIFTY IT, NIFTY METAL (CARs: -19.08%, -11.59%, -8.83%).
Event: RBI Repo Rate (2023-02-08): Top positive sectors: NIFTY METAL, NIFTY IT, NIFTY PHARMA (CARs: 18.1%, 9.13%, 6.55%). Top negative sectors: NIFTY REALTY, NIFTY PSU BANK, NIFTY PRIVATE BANK (CARs: -8.97%, -7.58%, -4.42%).
Event: RBI Repo Rate (2023-06-08): Top positive sectors: NIFTY CONSUMER DURABLES, NIFTY IT, NIFTY METAL (CARs: -1.03%, -1.42%, -1.61%). Top negative sectors: NIFTY AUTO, NIFTY CHEMICALS, NIFTY PSU BANK (CARs: -15.54%, -14.9%, -10.15%).
Event: Fed Rate Cuts (2023-07-26): Top positive sectors: NIFTY REALTY, NIFTY PHARMA, NIFTY PSU BANK (CARs: 23.01%, 16.56%, 13.83%). Top negative sectors: NIFTY AUTO, NIFTY FINANCIAL SERVICES, NIFTY BANK (CARs: -11.16%, -7.26%, -3.17%).
Event: RBI Repo Rate (2024-09-18): Top positive sectors: NIFTY FINANCIAL SERVICES, NIFTY BANK, NIFTY REALTY (CARs: 15.66%, 12.26%, 11.62%). Top negative sectors: NIFTY IT, NIFTY MEDIA, NIFTY PHARMA (CARs: -22.07%, -9.67%, -8.03%).
Event: RBI Repo Rate (2024-12-06): Top positive sectors: NIFTY METAL, NIFTY CONSUMER DURABLES, NIFTY AUTO (CARs: 5.66%, 3.52%, -1.78%). Top negative sectors: NIFTY MEDIA, NIFTY PSU BANK, NIFTY BANK (CARs: -29.47%, -14.05%, -10.41%).
Event: RBI Repo Rate (2025-02-07): Top positive sectors: NIFTY METAL, NIFTY PRIVATE BANK, NIFTY 50 (CARs: -5.34%, -11.39%, -11.98%). Top negative sectors: NIFTY MEDIA, NIFTY CHEMICALS, NIFTY PSU BANK (CARs: -37.04%, -25.68%, -25.16%).
Event: RBI Repo Rate (2025-04-09): Top positive sectors: NIFTY METAL, NIFTY CHEMICALS, NIFTY AUTO (CARs: 44.74%, 28.4%, 26.08%). Top negative sectors: NIFTY PSU BANK, NIFTY IT, NIFTY MEDIA (CARs: -3.83%, 5.06%, 5.7%).
Event: RBI Repo Rate (2025-06-06): Top positive sectors: NIFTY IT, NIFTY PRIVATE BANK, NIFTY REALTY (CARs: 15.72%, 13.41%, 9.1%). Top negative sectors: NIFTY CHEMICALS, NIFTY MEDIA, NIFTY FMCG (CARs: -11.12%, -2.49%, -2.11%).
